Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18,
10C_96h_air_d_b1,17.82945,20.96207,24.67195,29.79938,31.84431,30.56412,29.2928,34.7942,50.50793,54.7347,56.16576,59.07415,56.98033,55.63702,53.47229,46.59621,44.21671,34.76811,3.917615,4.392222,4.71745,5.024345,5.013068,4.959001,4.855301,5.14954,5.671638,5.594679,5.652896,5.556449,5.327804,5.259521,5.201132,4.498648,4.417699,3.889246,
5C_0h_air_a_b1,17.79043,21.35765,25.92278,32.41903,33.67908,32.08867,30.38769,36.09839,52.1325,55.30313,56.48447,59.54492,56.02929,54.25592,51.6261,44.44889,42.07645,32.86803,3.57819,4.125352,4.36221,4.593997,4.762135,4.784945,4.704,5.329869,5.420572,5.489215,5.593431,5.726538,5.591305,5.478072,5.364323,4.618479,4.579357,4.272603,
5C_0h_air_b_b1,15.22738,18.39177,22.0673,27.39545,28.90379,27.43731,25.92899,30.86226,46.47473,49.67443,50.79016,53.96469,52.0124,50.54414,48.34528,42.2967,40.11621,31.78601,3.355201,3.70052,4.04111,4.527508,4.685437,4.632868,4.560852,5.111726,5.326962,5.358494,5.445923,5.577021,5.434075,5.34323,5.253067,4.558771,4.480893,3.986344,
5C_0h_air_c_b1,15.5728,18.78031,23.24435,30.01969,31.4285,29.56771,26.72205,33.43329,49.92562,53.01885,54.11074,57.46694,55.63048,54.02408,51.6338,44.90036,42.64648,33.87658,3.232284,3.960254,3.991107,3.930998,4.033707,4.075761,3.932087,4.400947,4.492394,4.602745,4.681813,4.935179,5.167971,5.084181,4.981593,4.223819,4.136786,3.688277,
5C_0h_air_d_b1,16.87516,19.97536,24.49844,31.5109,32.668,30.63524,27.50272,34.18405,51.81219,55.24318,56.43804,60.0649,58.02231,56.37652,53.92857,46.74109,44.4381,35.30551,4.495781,4.827876,5.009621,5.258911,5.029503,4.933832,4.622371,4.816425,5.196491,5.349721,5.463067,5.737097,6.088957,6.043291,5.991016,5.221941,5.211199,4.877909,
5C_168h_air_a_b1,15.09447,17.89951,21.64804,27.17345,29.49479,28.14072,26.524,32.4012,50.24023,54.79071,56.29052,59.77671,57.42992,55.94296,53.52311,46.40584,44.04424,34.66414,3.560545,4.371366,4.940748,5.634153,5.716837,5.638393,5.562465,5.943187,6.848577,6.928591,7.003231,6.990315,6.888295,6.902776,6.919367,6.164332,6.122615,5.598258,
5C_168h_air_b_b1,16.56679,19.68413,23.34247,28.43377,30.69041,29.49218,27.62586,33.90961,49.75081,54.03731,55.44612,58.4919,55.79147,54.39069,52.12438,45.41635,43.0955,33.96472,3.809227,4.513355,4.950136,5.382532,5.431861,5.378963,5.129277,5.510319,5.764333,6.020763,6.215249,6.447677,6.315165,6.285389,6.242721,5.370366,5.242612,4.466053,
5C_168h_air_c_b1,15.47379,17.91769,21.52649,26.61271,28.07092,26.52304,23.42314,30.31659,48.33183,52.40427,53.72808,57.35801,55.59493,54.07867,51.68094,44.79187,42.3957,33.08715,3.680927,4.260957,4.646177,4.932163,4.921243,4.888419,4.76589,4.909702,5.448921,5.543807,5.646524,5.681254,5.708999,5.695188,5.663662,4.874059,4.758061,4.099694,
5C_168h_air_d_b1,15.01678,18.6152,21.9471,26.35122,28.58166,27.57424,26.00343,32.03844,48.38792,52.42338,53.77744,56.20615,52.96419,51.65244,49.54271,43.52492,41.35305,32.90681,3.110794,3.79983,4.145216,4.446897,4.624808,4.632011,4.616907,5.086466,6.350155,6.819079,7.039772,7.452125,7.178041,7.091292,6.979074,5.869626,5.669805,4.65439,
5C_168h_air_e_b1,15.71088,18.45543,22.27168,27.63641,29.28651,27.87798,26.05462,32.28955,51.34933,55.87753,57.35175,60.32583,57.76,56.32693,53.96642,46.79225,44.40192,34.86464,5.134051,5.622131,6.131711,6.682168,6.54141,6.430015,6.218596,6.620203,7.302353,7.295659,7.345745,7.193668,6.88511,6.881886,6.86175,6.07448,6.022493,5.509485,
5C_168h_air_f_b1,14.90633,17.3992,20.88098,25.80751,27.6665,26.37741,24.46783,30.33028,48.17387,52.40053,53.75518,56.72812,54.29184,52.94275,50.71912,44.05919,41.66384,32.39565,4.137724,4.471961,4.87817,5.291606,5.192031,5.092745,4.955297,5.14681,5.812923,5.993776,6.106294,6.19051,6.259834,6.247506,6.205359,5.255899,5.087446,4.261942,
5C_192h_air_a_b1,16.03346,18.5568,22.10483,27.25951,29.33344,27.97058,26.39049,32.13086,49.40152,53.24072,54.49622,56.8849,54.31244,52.94361,50.7523,44.20741,41.8741,32.81699,3.605189,4.188222,4.538044,4.774755,4.652108,4.591143,4.30739,4.716532,6.083094,6.420351,6.590349,6.838673,6.90323,6.789727,6.636511,5.430176,5.222672,4.107433,
5C_192h_air_b_b1,15.93919,18.17475,21.6535,26.58923,28.47406,27.20081,25.10952,30.46537,45.86951,49.70285,50.94066,53.58727,52.25883,51.08093,49.09154,43.06742,40.85626,32.33454,3.08485,3.464124,3.843838,4.341672,4.39886,4.317732,4.128968,4.591122,5.094827,5.189653,5.292389,5.4033,5.495377,5.457935,5.426917,4.727941,4.639701,4.040106,
5C_192h_air_c_b1,16.18396,19.18225,22.85062,28.25192,30.96559,29.80342,28.76599,33.92409,49.59937,53.33298,54.51641,56.71346,53.91357,52.54269,50.29967,43.81384,41.57213,32.8405,3.556751,4.087922,4.452835,4.899209,5.007684,4.925032,4.740626,4.967214,5.661684,5.809069,5.92887,6.10434,6.175121,6.112763,6.043291,5.222259,5.158234,4.60991,
5C_192h_air_d_b1,14.43312,17.14811,20.60343,25.51266,27.99959,26.76312,24.39326,31.18249,47.52737,51.68859,53.04808,56.10941,54.23649,52.98875,50.97106,44.73533,42.50796,33.74176,3.67823,4.508718,4.868415,5.113944,5.152598,5.123035,4.967972,5.347957,6.376215,6.552547,6.689029,6.838324,6.66167,6.580983,6.519127,5.599382,5.464383,4.597275,
5C_192h_air_e_b1,15.12691,17.41243,20.71846,25.46039,27.3043,25.99161,23.5927,29.73006,46.81192,50.91713,52.23912,55.28464,53.50639,52.24442,50.16367,43.82785,41.54988,32.7312,4.308281,4.923022,5.213634,5.464477,5.285693,5.165831,4.787756,5.114109,5.877915,5.980278,6.077779,6.108396,5.905886,5.817932,5.743247,4.945541,4.854815,4.179431,
5C_192h_air_f_b1,14.41771,16.17202,19.33294,24.09127,25.67046,24.31637,22.41683,28.02454,45.37945,49.95796,51.43568,55.10814,54.11212,52.88304,50.84876,44.4867,42.2155,33.31981,4.190661,4.78046,5.344886,6.016854,5.966893,5.834293,5.477376,5.974936,6.425411,6.388911,6.436662,6.379168,6.26156,6.181617,6.115411,5.25983,5.140649,4.383624,
5C_48h_air_a_b1,16.48782,19.67631,23.44214,28.81437,30.02468,28.51446,26.28626,32.33658,49.11875,52.71771,53.75886,57.013,53.92493,52.4562,50.01999,43.36302,41.13067,32.36549,4.770996,5.675478,5.983989,6.365582,6.448304,6.39908,6.244232,6.231015,6.026723,6.060277,6.134841,6.325114,6.366142,6.21796,6.008326,5.008092,4.942643,4.482275,
5C_48h_air_b_b1,18.22563,22.26615,26.71023,32.76554,33.88852,32.19502,28.98441,35.58442,50.96996,53.99405,54.92077,58.02453,54.74059,53.15423,50.66645,43.90707,41.61082,32.62188,4.569077,4.785819,4.877091,5.063887,4.749573,4.611904,4.317197,4.342723,5.656065,6.048163,6.181391,6.755414,7.531211,7.40007,7.193656,5.884228,5.703959,4.73318,
5C_48h_air_c_b1,18.47764,22.2542,26.38824,32.20115,33.29341,31.77388,29.61762,35.82767,50.92649,54.42367,55.69667,60.38192,57.89312,56.2633,53.70929,46.52128,44.2164,34.84172,4.274141,4.526468,4.665136,4.786008,4.787278,4.791701,5.017313,5.209127,4.939363,4.972534,4.998729,5.192149,5.501815,5.416296,5.329041,4.628299,4.574099,4.14797,
5C_48h_air_d_b1,18.76332,23.60039,27.554,32.62903,34.27367,33.01754,31.27127,37.58923,51.78504,54.8583,55.93574,59.31944,55.92317,54.39517,51.95737,45.19159,42.9702,34.0912,5.315299,5.962939,6.268014,6.663647,6.625307,6.579508,6.634976,6.624169,7.289874,7.518264,7.668809,8.151715,8.44808,8.327847,8.154731,6.850802,6.723546,5.840018,
5C_96h_air_a_b1,17.48015,21.8475,25.06785,28.87737,29.95418,28.9511,27.7956,33.59732,49.09692,52.76912,54.24626,57.84057,54.11501,52.60442,50.27625,43.87679,41.65126,32.92764,5.149312,5.315502,5.490427,5.6706,5.397836,5.218462,4.842782,5.087468,6.704719,6.945608,7.039534,7.074284,7.078239,6.951425,6.799478,5.669554,5.510582,4.551508,
5C_96h_air_b_b1,15.82996,19.53226,23.08418,27.79408,29.4132,28.38191,27.98998,33.31588,48.99658,53.04424,54.80615,59.93188,57.13179,55.51649,52.98838,45.94546,43.65772,34.50921,4.77801,5.348988,5.767657,6.126526,5.939977,5.799047,5.70629,5.634141,6.182529,6.178315,6.187614,5.868868,5.895393,5.858737,5.84624,5.156074,5.102402,4.619042,
5C_96h_air_c_b1,14.80954,19.35777,22.39186,25.8218,27.31291,26.75242,26.84331,32.27894,46.33109,50.55376,52.59167,58.0471,54.17269,52.61317,50.22073,43.66053,41.38613,32.50992,3.296484,4.161839,4.496238,4.89247,5.158196,5.114116,5.145669,5.365118,6.550147,6.636886,6.690466,6.757058,6.678149,6.55715,6.427664,5.415175,5.265039,4.391754,
