Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,
0C_96h_air_c_b1_f,15.22317,16.48485,24.4742,25.88698,21.39325,13.34636,15.48693,24.68595,8.552673,6.968847,7.383044,7.681093,7.594325,5.318591,5.692996,7.837118,
0C_96h_air_d_b1_f,14.53643,15.96588,23.26267,23.15976,18.25947,10.8164,12.86555,22.10334,8.028943,6.626762,6.57228,6.012092,5.600667,4.323076,5.545285,8.623059,
10C_0h_air_a_b1_f,17.03327,20.22655,29.54001,29.58225,23.23361,14.37479,15.24577,25.95612,9.151489,8.021635,8.693208,10.15743,9.743119,8.281413,8.334084,8.650142,
10C_0h_air_b_b1_f,16.23084,18.00974,25.80925,26.49566,21.93411,13.62133,15.89264,26.94074,8.358025,6.824148,7.110592,7.655383,8.446114,6.00357,7.731246,11.62991,
10C_0h_air_c_b1_f,15.93966,17.82335,28.71921,29.30465,24.04757,15.32922,16.85388,27.77393,8.348029,7.852564,9.181563,9.583122,11.58572,8.944708,10.13733,13.07375,
10C_0h_air_d_b1_f,16.05646,17.32762,26.24324,27.19531,22.06558,13.99018,16.13721,25.33839,8.767479,7.13255,9.406554,9.880411,9.095429,6.795339,7.496124,9.654317,
10C_48h_air_a_b1_f,14.79966,15.36608,24.92571,25.85527,19.47602,12.49147,14.16593,20.82634,8.19913,6.826331,6.538582,6.882069,6.436242,5.112649,4.844288,5.343281,
10C_48h_air_b_b1_f,12.34785,14.69036,21.8036,21.94965,15.56837,9.621165,10.16766,17.65853,7.853568,7.953212,4.748568,5.955242,5.109118,4.344037,3.95983,5.643358,
10C_48h_air_c_b1_f,17.30958,19.99531,28.484,30.52032,26.47855,17.23033,19.19866,30.49468,8.222335,7.377028,7.474569,8.532126,10.08778,7.929955,8.507016,10.74832,
10C_48h_air_d_b1_f,14.28192,15.31515,23.84686,25.08098,20.08214,12.1226,14.2854,21.93115,8.276451,6.856766,7.861261,8.621002,8.720222,6.360831,6.760034,7.919436,
5C_0h_air_a_b1_f,16.26966,18.91208,27.94216,29.0607,22.96405,14.47039,15.16992,27.39408,8.078437,7.827202,6.356422,7.182588,8.158612,6.490748,8.248832,9.010595,
5C_0h_air_b_b1_f,14.28711,17.34865,24.75282,25.12455,18.45243,11.89252,14.40779,20.87278,8.137561,7.238903,7.194394,6.396683,5.290625,5.631839,9.398101,7.634091,
5C_0h_air_c_b1_f,15.12394,17.46345,24.56988,25.71499,20.7199,13.11979,14.71378,22.91834,8.426204,8.314491,7.206846,7.694658,8.435426,7.93834,8.044346,8.802094,
5C_0h_air_d_b1_f,15.36035,16.92024,23.33327,23.86632,18.6226,11.66482,13.37037,22.25595,8.170092,6.40794,6.738427,6.962709,6.280249,5.268573,6.476029,7.906223,
